Media Url,Item Identifier
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000003/info.json,校異源氏物語　卷四
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000004/info.json,目次
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000005/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000006/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000007/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000008/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000009/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000010/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000011/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000012/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000013/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000014/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000015/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000016/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000017/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000018/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000019/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000020/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000021/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000022/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000023/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000024/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000025/info.json,かしは木
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000026/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000027/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000028/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000029/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000030/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000031/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000032/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000033/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000034/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000035/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000036/info.json,よこ笛
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000037/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000038/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000039/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000040/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000041/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000042/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000043/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000044/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000045/info.json,すゝむし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000046/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000047/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000048/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000049/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000050/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000051/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000052/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000053/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000054/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000055/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000056/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000057/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000058/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000059/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000060/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000061/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000062/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000063/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000064/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000065/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000066/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000067/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000068/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000069/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000070/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000071/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000072/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000073/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000074/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000075/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000076/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000077/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000078/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000079/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000080/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000081/info.json,夕きり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000082/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000083/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000084/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000085/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000086/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000087/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000088/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000089/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000090/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000091/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000092/info.json,みのり
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000093/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000094/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000095/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000096/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000097/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000098/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000099/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000100/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000101/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000102/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000103/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000104/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000105/info.json,まほろし
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000106/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000107/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000108/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000109/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000110/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000111/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000112/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000113/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000114/info.json,にほふ兵部卿
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000115/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000116/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000117/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000118/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000119/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000120/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000121/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000122/info.json,こうはい
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000123/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000124/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000125/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000126/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000127/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000128/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000129/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000130/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000131/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000132/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000133/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000134/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000135/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000136/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000137/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000138/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000139/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000140/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000141/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000142/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000143/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000144/info.json,たけ川
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000145/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000146/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000147/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000148/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000149/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000150/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000151/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000152/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000153/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000154/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000155/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000156/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000157/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000158/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000159/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000160/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000161/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000162/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000163/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000164/info.json,はし姬
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000165/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000166/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000167/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000168/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000169/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000170/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000171/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000172/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000173/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000174/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000175/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000176/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000177/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000178/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000179/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000180/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000181/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000182/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000183/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000184/info.json,しゐかもと
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000185/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000186/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000187/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000188/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000189/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000190/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000191/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000192/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000193/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000194/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000195/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000196/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000197/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000198/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000199/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000200/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000201/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000202/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000203/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000204/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000205/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000206/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000207/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000208/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000209/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000210/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000211/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000212/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000213/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000214/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000215/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000216/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000217/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000218/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000219/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000220/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000221/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000222/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000223/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000224/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000225/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000226/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000227/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000228/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000229/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000230/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000231/info.json,あけまき
https://www.dl.ndl.go.jp/api/iiif/3437689/R0000232/info.json,あけまき
