Vol,label,ページ番号,canvas,開始位置,project id
12,すま,391,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/5,395,269
13,あかし,437,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/28,441,270
14,みをつくし,479,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/49,483,271
15,よもきふ,515,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/67,519,272
16,せきや,543,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/81,547,273
17,ゑあはせ,553,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/86,557,274
18,松かせ,575,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/97,579,275
19,うす雲,599,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/109,603,276
20,あさかほ,635,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/127,639,277
21,をとめ,661,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/140,665,278
22,玉かつら,715,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/167,719,279
23,初音,759,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/189,763,280
24,こてふ,777,https://www.dl.ndl.go.jp/api/iiif/3437687/canvas/198,781,281
25,ほたる,801,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/5,805,236
26,とこなつ,825,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/17,829,237
27,かゝり火,851,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/30,855,238
28,野わき,859,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/34,863,239
29,みゆき,881,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/45,885,240
30,藤はかま,913,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/61,917,241
31,まきはしら,931,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/70,935,242
32,梅かえ,971,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/90,975,243
33,藤のうらは,993,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/101,997,244
34,わかな上,1021,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/115,1025,245
35,わかな下,1121,https://www.dl.ndl.go.jp/api/iiif/3437688/canvas/165,1125,246
36,かしは木,1223,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/5,1227,222
37,よこ笛,1265,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/26,1269,223
38,すゝむし,1287,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/37,1291,224
39,夕きり,1305,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/46,1309,225
40,みのり,1377,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/82,1381,226
41,まほろし,1399,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/93,1403,227
42,にほふ兵部卿,1425,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/106,1429,228
43,こうはい,1443,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/115,1447,229
44,たけ川,1459,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/123,1463,230
45,はし_,1503,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/145,1507,231
46,しゐかもと,1543,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/165,1547,232
47,あけまき,1583,https://www.dl.ndl.go.jp/api/iiif/3437689/canvas/185,1587,233
48,さわらひ,1673,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/5,1677,4
49,やとり木,1697,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/17,1701,5
50,あつまや,1789,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/63,1793,6
51,うき舟,1855,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/96,1859,7
52,かけろふ,1927,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/132,1931,8
53,てならひ,1985,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/161,1989,9
54,夢のうきはし,2051,https://www.dl.ndl.go.jp/api/iiif/3437690/canvas/194,2055,10